Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified,Time_Period,Engagement_Class
Instagram,Carousel,Business,8287,247,51,29502,20,223080,3.85,1,Monday,16.0,985,Positive,Macro,True,False,Night,1
LinkedIn,Document,Health,1711,27,247,24538,139,312647,0.63,5,Monday,9.0,627,Negative,Macro,False,True,Morning,0
Instagram,Carousel,Food,1527,191,7,5460,359,220737,0.78,9,Monday,27.0,79,Positive,Macro,True,True,Morning,0
Facebook,Video,Sports,535,178,433,68246,740,428935,0.27,10,Monday,17.0,554,Neutral,Macro,True,False,Morning,0
Instagram,Photo,Fitness,9706,35,118,25782,611,64384,15.31,13,Monday,5.0,1136,Positive,Mid-tier,True,False,Afternoon,1
Twitter,Poll,Sports,3767,83,522,59434,242,421886,1.04,1,Tuesday,19.0,1611,Negative,Macro,True,False,Night,0
Twitter,Poll,Lifestyle,1558,71,676,45929,92,259275,0.89,3,Tuesday,25.0,1406,Negative,Macro,True,False,Night,0
Twitter,Thread,Education,599,222,787,68904,314,30966,5.19,16,Tuesday,1.0,399,Negative,Micro,True,False,Afternoon,1
YouTube,Live,Food,6062,754,540,947740,1640,395761,1.86,19,Tuesday,22.0,109,Neutral,Macro,False,False,Evening,0
Twitter,Thread,Travel,597,22,339,67556,74,478824,0.2,20,Tuesday,22.0,1445,Neutral,Macro,True,True,Evening,0
TikTok,Video,Travel,18977,966,2147,8088,2235,241082,9.16,20,Tuesday,5.0,369,Negative,Macro,False,False,Evening,1
Instagram,Carousel,Entertainment,1874,467,16,30977,688,67464,3.49,21,Tuesday,11.0,1458,Positive,Mid-tier,True,True,Night,1
Instagram,Photo,Business,1867,125,281,44911,286,292298,0.78,21,Tuesday,6.0,1262,Negative,Macro,True,False,Night,0
Twitter,Poll,Sports,4926,205,1317,28491,466,148659,4.34,0,Wednesday,7.0,1597,Neutral,Macro,True,False,Night,1
LinkedIn,Poll,Lifestyle,1383,123,32,6603,59,190618,0.81,3,Wednesday,13.0,1506,Neutral,Macro,False,False,Night,0
